PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
CJ McCollum,POR,27,70,70,100%,568,1238,45.9,52.6,64.2%,402,795,50.6,35.8%,166,443,37.5
C.J. Williams,MIN,29,15,13,100%,17,35,48.6,55.7,54.3%,12,19,63.2,45.7%,5,16,31.3
Buddy Hield,SAC,26,82,82,100%,623,1361,45.8,56.0,52.2%,345,710,48.6,47.8%,278,651,42.7
Bryn Forbes,SAS,25,82,82,100%,361,791,45.6,56.8,47.8%,185,378,48.9,52.2%,176,413,42.6
Bruno Caboclo,MEM,23,34,34,100%,96,225,42.7,53.3,42.2%,48,95,50.5,57.8%,48,130,36.9
Bruce Brown,DET,22,74,71,100%,125,315,39.7,43.5,70.5%,101,222,45.5,29.5%,24,93,25.8
Brook Lopez,MIL,31,81,81,100%,354,784,45.2,57.0,34.8%,168,273,61.5,65.2%,186,511,36.4
Brandon Sampson,CHI,22,14,13,100%,28,60,46.7,55.8,51.7%,17,31,54.8,48.3%,11,29,37.9
Brandon Knight,CLE,27,39,38,100%,96,253,37.9,46.0,50.2%,55,127,43.3,49.8%,41,126,32.5
Brandon Ingram,LAL,21,52,52,100%,362,727,49.8,51.9,87.1%,331,633,52.3,12.9%,31,94,33.0
Brandon Goodwin,DEN,23,16,9,100%,6,23,26.1,30.4,73.9%,4,17,23.5,26.1%,2,6,33.3
Bradley Beal,WAS,25,81,81,100%,744,1560,47.7,54.3,62.6%,538,977,55.1,37.4%,206,583,35.3
Brad Wanamaker,BOS,29,36,32,100%,50,105,47.6,55.2,62.9%,34,66,51.5,37.1%,16,39,41.0
Bonzie Colson,MIL,23,8,6,100%,13,39,33.3,39.7,46.2%,8,18,44.4,53.8%,5,21,23.8
Bojan Bogdanovic,IND,30,81,81,100%,522,1050,49.7,57.5,63.2%,358,664,53.9,36.8%,164,386,42.5
Bogdan Bogdanovic,SAC,26,70,70,100%,361,863,41.8,49.6,56.9%,227,491,46.2,43.1%,134,372,36.0
Bobby Portis,WAS,24,49,49,100%,265,601,44.1,49.9,69.7%,195,419,46.5,30.3%,70,182,38.5
Boban Marjanovic,PHI,30,58,52,100%,160,260,61.5,62.3,96.2%,156,250,62.4,3.8%,4,10,40.0
Blake Griffin,DET,30,75,75,100%,619,1341,46.2,53.2,61.1%,430,819,52.5,38.9%,189,522,36.2
Billy Garrett,NYK,24,4,4,100%,10,25,40.0,40.0,72.0%,10,18,55.6,28.0%,0,7,0.0
Ben Simmons,PHI,22,78,78,100%,532,949,56.1,56.1,99.4%,532,943,56.4,0.6%,0,6,0.0
Ben McLemore,SAC,26,19,17,100%,25,64,39.1,52.3,35.9%,8,23,34.8,64.1%,17,41,41.5
Bam Adebayo,MIA,21,82,82,100%,280,486,57.6,57.9,96.9%,277,471,58.8,3.1%,3,15,20.0
BJ Johnson,SAC,23,7,6,100%,9,18,50.0,58.3,61.1%,6,11,54.5,38.9%,3,7,42.9
Avery Bradley,MEM,28,63,63,100%,248,608,40.8,47.9,59.7%,162,363,44.6,40.3%,86,245,35.1
Austin Rivers,HOU,26,76,76,100%,232,572,40.6,49.7,42.8%,128,245,52.2,57.2%,104,327,31.8
Aron Baynes,BOS,32,51,49,100%,105,223,47.1,51.8,72.6%,84,162,51.9,27.4%,21,61,34.4
Antonio Blakeney,CHI,22,57,53,100%,166,396,41.9,46.5,76.8%,130,304,42.8,23.2%,36,92,39.1
Anthony Tolliver,MIN,33,65,58,100%,99,259,38.2,53.9,17.0%,18,44,40.9,83.0%,81,215,37.7
Anthony Davis,NOP,26,56,56,100%,530,1026,51.7,54.0,85.9%,482,881,54.7,14.1%,48,145,33.1
Anfernee Simons,POR,19,20,15,100%,28,63,44.4,52.4,54.0%,18,34,52.9,46.0%,10,29,34.5
Andrew Wiggins,MIN,24,73,73,100%,497,1209,41.1,46.0,71.2%,379,861,44.0,28.8%,118,348,33.9
Andrew Harrison,NOP,24,17,15,100%,16,53,30.2,34.9,52.8%,11,28,39.3,47.2%,5,25,20.0
Andre Ingram,LAL,33,4,3,100%,0,6,0.0,0.0,50.0%,0,3,0.0,50.0%,0,3,0.0
Andre Iguodala,GSW,35,68,65,100%,151,302,50.0,57.9,52.3%,103,158,65.2,47.7%,48,144,33.3
Andre Drummond,DET,25,79,79,100%,560,1050,53.3,53.6,96.4%,555,1012,54.8,3.6%,5,38,13.2
Amir Johnson,PHI,32,51,46,100%,79,157,50.3,54.1,74.5%,67,117,57.3,25.5%,12,40,30.0
Allonzo Trier,NYK,23,63,63,100%,227,508,44.7,49.7,74.4%,176,378,46.6,25.6%,51,130,39.2
Allen Crabbe,BKN,27,43,43,100%,137,373,36.7,49.9,30.6%,39,114,34.2,69.4%,98,259,37.8
Alize Johnson,IND,23,14,9,100%,4,15,26.7,30.0,86.7%,3,13,23.1,13.3%,1,2,50.0
Alfonzo McKinnie,GSW,26,72,65,100%,134,275,48.7,56.4,57.5%,92,158,58.2,42.5%,42,117,35.9
Alex Poythress,ATL,25,21,17,100%,40,81,49.4,54.9,71.6%,31,58,53.4,28.4%,9,23,39.1
Alex Len,ATL,25,77,76,100%,320,648,49.4,55.1,68.5%,246,444,55.4,31.5%,74,204,36.3
Alex Caruso,LAL,25,25,20,100%,72,163,44.2,51.2,71.8%,49,117,41.9,28.2%,23,46,50.0
Alex Abrines,OKC,25,31,31,100%,56,157,35.7,48.7,19.1%,15,30,50.0,80.9%,41,127,32.3
Alec Burks,SAC,27,64,59,100%,192,474,40.5,46.9,64.6%,131,306,42.8,35.4%,61,168,36.3
Alan Williams,BKN,26,5,5,100%,8,13,61.5,61.5,92.3%,8,12,66.7,7.7%,0,1,0.0
Al-Farouq Aminu,POR,28,81,81,100%,255,588,43.4,51.5,52.7%,159,310,51.3,47.3%,96,278,34.5
Al Horford,BOS,32,68,68,100%,387,723,53.5,58.6,71.9%,314,520,60.4,28.1%,73,203,36.0
Abdel Nader,OKC,25,60,52,100%,90,213,42.3,49.5,53.5%,59,114,51.8,46.5%,31,99,31.3
Aaron Holiday,IND,22,50,48,100%,105,262,40.1,48.3,51.5%,62,135,45.9,48.5%,43,127,33.9
Aaron Gordon,ORL,23,76,76,100%,459,1021,45.0,50.7,66.8%,341,682,50.0,33.2%,118,339,34.8
