PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
De'Anthony Melton,PHX,20,50,46,100%,100,256,39.1,44.7,62.9%,71,161,44.1,37.1%,29,95,30.5
De'Aaron Fox,SAC,21,81,81,100%,505,1099,46.0,49.9,78.9%,419,867,48.3,21.1%,86,232,37.1
Davon Reed,IND,23,10,4,100%,5,12,41.7,50.0,66.7%,3,8,37.5,33.3%,2,4,50.0
Davis Bertans,SAS,26,76,76,100%,204,453,45.0,61.0,25.4%,59,115,51.3,74.6%,145,338,42.9
David Nwaba,CLE,26,51,49,100%,123,259,47.5,52.1,71.4%,99,185,53.5,28.6%,24,74,32.4
Daryl Macon,DAL,23,8,6,100%,10,27,37.0,46.3,59.3%,5,16,31.3,40.7%,5,11,45.5
Darren Collison,IND,31,76,76,100%,308,659,46.7,52.7,70.6%,229,465,49.2,29.4%,79,194,40.7
Darius Miller,NOP,29,69,69,100%,189,484,39.0,52.8,24.8%,56,120,46.7,75.2%,133,364,36.5
Dario Saric,MIN,25,81,81,100%,304,696,43.7,52.2,53.6%,186,373,49.9,46.4%,118,323,36.5
Danuel House Jr.,HOU,25,39,39,100%,118,252,46.8,61.5,29.4%,44,74,59.5,70.6%,74,178,41.6
Dante Exum,UTA,23,41,39,100%,100,236,42.4,46.2,73.7%,82,174,47.1,26.3%,18,62,29.0
Dante Cunningham,SAS,32,64,55,100%,75,158,47.5,57.0,58.9%,45,93,48.4,41.1%,30,65,46.2
Danny Green,TOR,31,80,80,100%,293,630,46.5,62.2,31.0%,95,195,48.7,69.0%,198,435,45.5
Danilo Gallinari,LAC,30,68,68,100%,409,883,46.3,55.4,57.9%,248,511,48.5,42.1%,161,372,43.3
Daniel Theis,BOS,27,66,61,100%,146,267,54.7,59.6,74.9%,120,200,60.0,25.1%,26,67,38.8
Daniel Hamilton,ATL,23,19,18,100%,23,60,38.3,45.0,61.7%,15,37,40.5,38.3%,8,23,34.8
Damyean Dotson,NYK,24,72,72,100%,284,689,41.2,50.1,50.9%,161,351,45.9,49.1%,123,338,36.4
Damion Lee,GSW,26,32,29,100%,56,127,44.1,54.7,46.5%,29,59,49.2,53.5%,27,68,39.7
Damian Lillard,POR,28,80,80,100%,679,1528,44.4,52.2,58.2%,443,889,49.8,41.8%,236,639,36.9
Dairis Bertans,NOP,29,12,11,100%,12,47,25.5,36.2,27.7%,2,13,15.4,72.3%,10,34,29.4
D.J. Wilson,MIL,23,48,45,100%,103,249,41.4,50.6,49.0%,57,122,46.7,51.0%,46,127,36.2
D.J. Augustin,ORL,31,79,79,100%,310,661,46.9,56.4,54.2%,184,358,51.4,45.8%,126,303,41.6
D'Angelo Russell,BKN,23,81,81,100%,659,1517,43.4,51.2,58.1%,425,882,48.2,41.9%,234,635,36.9
Cristiano Felicio,CHI,26,60,52,100%,94,178,52.8,52.8,97.8%,94,174,54.0,2.2%,0,4,0.0
Courtney Lee,DAL,33,34,32,100%,53,129,41.1,47.3,57.4%,37,74,50.0,42.6%,16,55,29.1
Cory Joseph,IND,27,82,82,100%,226,548,41.2,46.3,68.8%,171,377,45.4,31.2%,55,171,32.2
Corey Brewer,SAC,33,31,29,100%,53,123,43.1,48.8,64.2%,39,79,49.4,35.8%,14,44,31.8
Collin Sexton,CLE,20,82,82,100%,512,1189,43.1,48.0,75.6%,395,899,43.9,24.4%,117,290,40.3
Cody Zeller,CHA,26,49,49,100%,190,345,55.1,55.9,93.6%,184,323,57.0,6.4%,6,22,27.3
Christian Wood,NOP,23,21,19,100%,61,117,52.1,56.0,77.8%,52,91,57.1,22.2%,9,26,34.6
Chris Paul,HOU,33,58,58,100%,301,717,42.0,50.8,50.6%,174,363,47.9,49.4%,127,354,35.9
Chris Chiozza,HOU,23,7,5,100%,2,8,25.0,37.5,37.5%,0,3,0.0,62.5%,2,5,40.0
Chris Boucher,TOR,26,28,28,100%,34,76,44.7,52.6,51.3%,22,39,56.4,48.7%,12,37,32.4
Chimezie Metu,SAS,22,29,19,100%,19,58,32.8,32.8,96.6%,19,56,33.9,3.4%,0,2,0.0
Cheick Diallo,NOP,22,64,56,100%,168,270,62.2,62.4,98.5%,167,266,62.8,1.5%,1,4,25.0
Chasson Randle,WAS,26,48,47,100%,89,209,42.6,53.6,45.9%,43,96,44.8,54.1%,46,113,40.7
Channing Frye,CLE,35,36,31,100%,43,116,37.1,50.9,31.9%,11,37,29.7,68.1%,32,79,40.5
Chandler Parsons,MEM,30,25,25,100%,67,181,37.0,44.8,48.6%,39,88,44.3,51.4%,28,93,30.1
Chandler Hutchison,CHI,23,44,44,100%,96,209,45.9,49.3,76.1%,82,159,51.6,23.9%,14,50,28.0
Cedi Osman,CLE,24,76,76,100%,353,831,42.5,50.2,55.6%,225,462,48.7,44.4%,128,369,34.7
Carmelo Anthony,HOU,34,10,10,100%,49,121,40.5,49.2,47.1%,28,57,49.1,52.9%,21,64,32.8
Caris LeVert,BKN,24,40,40,100%,207,483,42.9,47.8,68.1%,159,329,48.3,31.9%,48,154,31.2
Cameron Reynolds,MIN,24,19,18,100%,33,78,42.3,55.8,34.6%,12,27,44.4,65.4%,21,51,41.2
Cameron Payne,CLE,24,40,37,100%,96,223,43.0,48.7,62.3%,71,139,51.1,37.7%,25,84,29.8
Caleb Swanigan,SAC,22,21,16,100%,18,53,34.0,34.9,86.8%,17,46,37.0,13.2%,1,7,14.3
CJ Miles,MEM,32,53,51,100%,112,309,36.2,47.1,34.3%,45,106,42.5,65.7%,67,203,33.0
